step_order	command	target	value	description
158	click	xpath////*[@id="productsTableScroll"]/table[1]/tbody[1]/tr[2]/td[10]/div[1]/button[2]/i[1]	NULL	delete
159	scroll	NULL	{"x":0,"y":1177.5999755859375}	Scroll to 0, 1178
160	click	[placeholder="Select Logistic Handler"]	NULL	Logistic Handler
161	click	aria/Supplier	NULL	Supplier
162	click	xpath////*[@id="accordion-summary-accordion-wrapper"]/span[1]/div[1]/div[3]/div[1]/div[2]/button[1]/label[1]/span[1]	NULL	click
163	click	aria/add Add Expenditure	NULL	add Add Expenditure
164	click	aria/Per Item	NULL	Per Item
165	click	aria/Per Item	NULL	Per Item
166	input	aria/Per Item	PER_ITEM	Per Item
167	click	[placeholder="Search by contact name"]	NULL	Contact
168	click	aria/Total Outstanding: ₹0.00	NULL	Total Outstanding: ₹0.00
169	click	aria/add Add Items	NULL	add Add Items
170	click	aria/Quick Lime Powder ASHRM002 (3)	NULL	Quick Lime Powder ASHRM002 (3)
171	click	aria/Quick Lime Powder ASHRM002 (3)	NULL	Quick Lime Powder ASHRM002 (3)
172	input	aria/Quick Lime Powder ASHRM002 (3)	temp-lineItemId3	Quick Lime Powder ASHRM002 (3)
173	click	aria/Quick Lime Powder ASHRM002 (2)	NULL	Quick Lime Powder ASHRM002 (2)
174	click	aria/Quick Lime Powder ASHRM002 (2)	NULL	Quick Lime Powder ASHRM002 (2)
175	input	aria/Quick Lime Powder ASHRM002 (2)	temp-lineItemId1	Quick Lime Powder ASHRM002 (2)
176	click	aria/Select All	NULL	Select All
177	click	#selected-all-product	NULL	Select All
178	input	#selected-all-product	on	Select All
179	click	input[name="searchText"]	NULL	Search text
180	input	input[name="searchText"]	q	Search text
181	input	input[name="searchText"]	qu	Search text
182	input	input[name="searchText"]	qui	Search text
183	input	input[name="searchText"]	quic	Search text
184	input	input[name="searchText"]	quick	Search text
185	input	input[name="searchText"]	quick	Search text
186	click	aria/Quick Lime Powder ASHRM002 (3)	NULL	Quick Lime Powder ASHRM002 (3)
187	click	aria/Quick Lime Powder ASHRM002 (3)	NULL	Quick Lime Powder ASHRM002 (3)
188	input	aria/Quick Lime Powder ASHRM002 (3)	temp-lineItemId3	Quick Lime Powder ASHRM002 (3)
189	click	aria/Submit	NULL	Submit
190	click	input[name="chargesList[0][items][0][chargeUnitPrice]"]	NULL	Unit Price*
191	input	input[name="chargesList[0][items][0][chargeUnitPrice]"]	2	Unit Price*
192	input	input[name="chargesList[0][items][0][chargeUnitPrice]"]	2	Unit Price*
193	click	aria/Add More	NULL	Add More
194	click	aria/Quick Lime Powder ASHRM002 (2)	NULL	Quick Lime Powder ASHRM002 (2)
195	click	aria/Quick Lime Powder ASHRM002 (2)	NULL	Quick Lime Powder ASHRM002 (2)
196	input	aria/Quick Lime Powder ASHRM002 (2)	temp-lineItemId1	Quick Lime Powder ASHRM002 (2)
197	click	aria/Submit	NULL	Submit
198	click	xpath///html/body/div[5]/div[3]/div[1]/div[2]/div[1]/div[2]/div[3]/div[1]/table[1]/tbody[1]/tr[2]/td[5]/button[1]/i[1]	NULL	delete
199	click	aria/Submit	NULL	Submit
200	scroll	NULL	{"x":0,"y":1402.4000244140625}	Scroll to 0, 1402
201	scroll	NULL	{"x":0,"y":1639.199951171875}	Scroll to 0, 1639
202	click	aria/add_circle_outline	NULL	add_circle_outline
203	click	input[name="addTermsConditions"]	NULL	Plant
204	input	input[name="addTermsConditions"]	sdfsdf	Plant
205	input	input[name="addTermsConditions"]	sdfsdf	Plant
206	click	xpath////*[@id="termsWrapper"]/div[1]/div[2]/form[1]/div[1]/div[1]/button[1]	NULL	Add
207	click	xpath////*[@id="addExtraCharge"]/div[3]/div[1]/div[1]/button[1]/i[1]	NULL	close
208	click	#WlPfD-card-row-1	NULL	local_shipping Transport Details add_circle_outline
209	click	[placeholder="Select Mode of Shipping"]	NULL	Mode of Shipping
210	click	aria/By Train	NULL	By Train
211	click	aria/Submit	NULL	Submit
212	click	aria/Submit	NULL	Submit
213	scroll	NULL	{"x":0,"y":1011.2000122070312}	Scroll to 0, 1011
214	scroll	NULL	{"x":0,"y":572}	Scroll to 0, 572
215	click	xpath////*[@id="productsTableScroll"]/table[1]/tbody[1]/tr[1]/td[14]/div[1]/div[1]/div[1]/div[1]/label[1]/span[1]	NULL	click
216	click	input[name="products[0][isQualityCheckEnabled]"]	NULL	Quality Check
217	input	input[name="products[0][isQualityCheckEnabled]"]	CHECKED	Quality Check
218	click	aria/Submit	NULL	Submit
219	scroll	NULL	{"x":0,"y":1639.199951171875}	Scroll to 0, 1639
220	scroll	NULL	{"x":0,"y":1608.800048828125}	Scroll to 0, 1609
